gene_id	paired_ABC284_1	paired_oxIs12_2	paired_ABC16_2	paired_oxIs12_1	paired_ABC291_1	paired_ABC291_2	paired_ABC16_1	paired_ABC284_2
WBGene00020716	266.0	225.0	229.0	222.0	356.0	327.0	260.0	361.0
WBGene00020717	525.0	624.0	595.0	542.0	506.0	488.0	646.0	580.0
WBGene00020718	661.0	875.0	757.0	689.0	737.0	746.0	776.0	796.0
WBGene00020719	1446.0	1578.0	1658.0	1300.0	1796.0	1733.0	1734.0	2003.0
WBGene00020720	19.0	20.0	4.0	9.0	2.0	3.0	27.0	7.0
WBGene00020721	777.0	629.0	581.0	579.0	1035.0	933.0	609.0	886.0
WBGene00020722	46.0	108.0	44.0	117.0	44.0	80.0	56.0	30.0
WBGene00020725	162.0	123.0	170.0	182.0	258.0	202.0	186.0	387.0
WBGene00020726	75.0	98.0	97.0	63.0	115.0	139.0	84.0	198.0
WBGene00020727	38.0	55.0	33.0	41.0	20.0	28.0	29.0	38.0
WBGene00020728	26.0	21.0	31.0	64.0	17.0	30.0	26.0	18.0
WBGene00020729	100.01	74.48	68.05	44.02	107.42	86.14	71.07	138.07
WBGene00020730	36.0	45.0	36.0	39.0	38.0	38.0	47.0	22.0
WBGene00020732	5202.0	8007.0	3811.0	6006.0	4440.0	4877.0	4880.0	5719.0
WBGene00020735	272.0	411.0	350.0	546.0	281.0	314.0	364.0	386.0
WBGene00020736	271.0	348.0	186.0	323.0	312.0	395.0	259.0	235.0
WBGene00020737	24.0	9.0	6.0	16.0	15.0	18.0	6.0	34.0
WBGene00020738	756.0	713.0	570.0	508.0	1009.0	912.0	655.0	1106.0
WBGene00020739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
WBGene00020740	160.0	248.0	130.0	294.0	165.0	181.0	188.0	126.0
WBGene00020741	46.0	23.0	101.0	46.0	29.0	19.0	69.0	58.0
WBGene00020742	1846.0	2004.0	1750.0	1686.0	2324.0	2068.0	1803.0	2060.0
WBGene00020743	10.0	40.0	42.0	79.0	8.0	19.0	49.0	7.0
WBGene00020744	13.0	11.0	26.0	8.0	12.0	22.0	11.0	17.0
WBGene00020746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020747	9.0	3.0	1.0	2.0	3.0	2.0	6.0	0.0
WBGene00020748	2.0	1.0	0.0	0.0	0.0	3.0	3.0	1.0
WBGene00020749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
